Position P,Velocity P,Frequency (Hz),Velocity Cutoff (Hz),Battery,Battery Voltage,Temperature,Start Angle,Shoot Angle,Velocity,Acceleration,Distance (m),Max Height (m),Trajectory Points,Timestamp,Trajectory Data
15,60,1000,500,dog,25.0,Medium,0.0,45.8366234,85.0,1750,8.8,,59,2025-05-25 20:13:55,"[[54, 319], [53, 319], [54, 319], [54, 319], [53, 319], [54, 319], [54, 319], [55, 319], [54, 319], [54, 319], [55, 319], [54, 319], [54, 319], [54, 319], [54, 319], [53, 319], [54, 319], [53, 319], [55, 319], [53, 319], [53, 319], [53, 319], [54, 319], [55, 319], [54, 319], [54, 319], [54, 319], [55, 319], [54, 319], [55, 319], [53, 319], [53, 319], [55, 319], [54, 319], [54, 319], [53, 319], [54, 319], [54, 314], [59, 305], [101, 271], [110, 263], [125, 255], [151, 241], [164, 235], [215, 213], [253, 203], [265, 201], [173, 114], [172, 115], [526, 312], [551, 332], [555, 323], [571, 300], [577, 293], [581, 287], [586, 280], [597, 271], [601, 268], [605, 264]]"
15,60,1000,500,dog ,25.0,Medium,0.0,40.1070456,110.0,2700,5.7,,75,2025-05-25 20:49:43,"[[21, 323], [22, 323], [21, 324], [21, 323], [23, 323], [20, 323], [21, 323], [21, 324], [21, 324], [21, 324], [21, 324], [22, 323], [21, 323], [21, 324], [21, 324], [21, 323], [20, 323], [21, 316], [58, 272], [70, 261], [79, 253], [86, 245], [106, 230], [115, 224], [124, 218], [132, 213], [142, 209], [159, 203], [168, 201], [177, 198], [185, 197], [193, 196], [209, 195], [217, 196], [225, 195], [234, 198], [243, 201], [251, 203], [302, 238], [308, 244], [339, 278], [347, 288], [355, 299], [361, 308], [367, 318], [383, 340], [392, 320], [395, 311], [405, 295], [408, 287], [413, 280], [422, 268], [425, 262], [438, 252], [442, 248], [447, 246], [451, 244], [455, 243], [469, 245], [472, 246], [476, 248], [479, 249], [482, 251], [486, 255], [503, 275], [507, 280], [511, 286], [515, 293], [519, 301], [533, 336], [541, 322], [545, 315], [549, 308], [553, 302], [557, 297]]"
15,60,1000,500,dog ,25.0,Medium,0.0,40.1070456,150.0,3500,6.2,,69,2025-05-25 20:52:34,"[[23, 322], [23, 322], [23, 322], [24, 322], [23, 322], [24, 322], [23, 322], [24, 322], [24, 322], [23, 322], [24, 322], [24, 322], [23, 322], [23, 322], [23, 322], [23, 322], [24, 322], [23, 322], [24, 322], [23, 322], [25, 317], [29, 307], [36, 297], [48, 284], [72, 263], [80, 254], [88, 245], [100, 237], [110, 229], [119, 223], [129, 217], [138, 211], [148, 206], [157, 202], [167, 197], [176, 193], [194, 190], [203, 189], [212, 188], [221, 188], [229, 188], [239, 190], [248, 191], [256, 193], [265, 196], [275, 199], [283, 203], [291, 207], [301, 212], [309, 218], [318, 224], [326, 231], [334, 238], [342, 246], [350, 255], [358, 264], [368, 273], [375, 283], [389, 305], [397, 316], [405, 328], [413, 339], [418, 332], [423, 323], [427, 313], [432, 303], [437, 295], [441, 287], [445, 280]]"
15,60,1000,500,dog ,25.0,Medium,0.0,40.1070456,150.0,3500,6.4,,51,2025-05-25 20:53:50,"[[23, 321], [23, 323], [23, 323], [23, 323], [23, 323], [25, 322], [23, 323], [23, 322], [23, 323], [23, 323], [23, 323], [24, 323], [24, 323], [22, 323], [25, 321], [24, 321], [22, 322], [22, 323], [23, 323], [26, 322], [23, 323], [23, 323], [24, 323], [23, 323], [23, 323], [24, 323], [23, 323], [24, 322], [22, 322], [23, 322], [24, 316], [33, 306], [37, 295], [74, 263], [83, 255], [92, 247], [103, 239], [114, 233], [124, 226], [135, 221], [473, 272], [477, 268], [494, 257], [500, 254], [505, 252], [511, 249], [530, 251], [536, 251], [565, 272], [571, 276], [606, 327]]"
15,60,1000,500,dog ,25.0,Medium,0.0,40.1070456,150.0,3500,6.3,,29,2025-05-25 20:54:24,"[[25, 323], [24, 323], [23, 323], [24, 323], [23, 323], [23, 323], [24, 323], [24, 323], [23, 323], [23, 323], [24, 323], [24, 323], [25, 323], [25, 323], [24, 323], [25, 323], [23, 323], [23, 323], [24, 323], [24, 323], [24, 323], [24, 322], [24, 320], [30, 310], [393, 309], [468, 259], [473, 253], [482, 249], [537, 259]]"
15,60,1000,500,dog ,25.0,Medium,0.0,40.1070456,150.0,3500,6.35,,75,2025-05-25 20:54:59,"[[24, 322], [23, 322], [24, 322], [24, 322], [23, 322], [24, 322], [23, 322], [23, 322], [24, 322], [24, 322], [24, 322], [24, 322], [23, 322], [23, 322], [24, 322], [24, 322], [23, 322], [23, 322], [24, 322], [23, 322], [24, 322], [24, 316], [28, 307], [36, 296], [49, 284], [58, 274], [72, 263], [81, 254], [89, 246], [100, 237], [111, 230], [131, 217], [141, 211], [150, 207], [160, 203], [172, 198], [180, 195], [190, 193], [200, 191], [210, 190], [219, 190], [228, 190], [237, 191], [247, 193], [256, 194], [265, 196], [275, 199], [283, 202], [301, 210], [310, 216], [319, 221], [328, 227], [336, 234], [345, 241], [354, 249], [362, 258], [371, 267], [378, 275], [388, 286], [395, 295], [412, 318], [428, 339], [434, 330], [439, 321], [444, 311], [449, 303], [454, 295], [459, 287], [465, 280], [470, 274], [476, 270], [480, 266], [484, 261], [490, 256], [495, 253]]"
15,60,1000,500,dog ,25.0,Medium,0.0,40.1070456,150.0,3500,6.4,,48,2025-05-25 20:55:54,"[[24, 322], [25, 322], [24, 322], [24, 322], [24, 322], [25, 322], [24, 322], [25, 322], [24, 322], [24, 322], [24, 322], [25, 322], [25, 322], [24, 322], [24, 322], [25, 322], [24, 322], [24, 320], [26, 311], [34, 301], [44, 291], [55, 278], [69, 268], [78, 259], [85, 251], [98, 242], [108, 235], [119, 228], [138, 217], [148, 212], [185, 198], [194, 197], [204, 195], [212, 194], [222, 193], [398, 310], [406, 320], [421, 340], [425, 329], [430, 319], [435, 310], [439, 301], [444, 293], [462, 269], [465, 263], [470, 258], [475, 255], [478, 254]]"
15,60,1000,500,dog ,25.0,Medium,0.0,40.1070456,150.0,3500,6.4,,84,2025-05-25 20:56:27,"[[23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [24, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [22, 322], [23, 322], [23, 322], [24, 322], [23, 322], [24, 322], [23, 322], [24, 322], [23, 322], [22, 319], [26, 311], [35, 301], [44, 291], [56, 279], [69, 268], [78, 260], [86, 252], [99, 244], [110, 237], [120, 231], [130, 224], [140, 219], [149, 213], [160, 210], [169, 207], [180, 203], [190, 201], [200, 199], [210, 199], [219, 199], [228, 199], [247, 201], [256, 203], [267, 206], [275, 209], [285, 212], [295, 217], [303, 221], [313, 227], [322, 233], [331, 239], [340, 246], [349, 254], [358, 262], [367, 271], [376, 280], [396, 301], [401, 310], [418, 333], [425, 339], [431, 329], [441, 310], [445, 300], [451, 293], [456, 286], [460, 278], [466, 271], [472, 266], [476, 262], [480, 258], [484, 254], [490, 251], [495, 248]]"
15,60,1000,500,dog ,25.0,Medium,0.0,40.1070456,150.0,3500,6.3,,85,2025-05-25 20:56:58,"[[22, 322], [23, 322], [24, 322], [24, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [23, 321], [24, 321], [23, 321], [23, 322], [23, 322], [23, 322], [23, 322], [23, 322], [24, 322], [24, 322], [23, 322], [24, 322], [23, 322], [23, 322], [23, 322], [23, 321], [24, 316], [29, 307], [38, 296], [48, 283], [58, 272], [71, 261], [79, 253], [86, 244], [99, 235], [108, 228], [118, 221], [128, 215], [137, 209], [147, 205], [156, 201], [166, 196], [175, 192], [184, 191], [194, 189], [212, 187], [220, 187], [229, 188], [238, 190], [247, 192], [255, 194], [265, 196], [273, 199], [282, 203], [291, 208], [299, 213], [308, 219], [316, 226], [324, 232], [332, 239], [341, 247], [349, 256], [357, 266], [366, 274], [395, 316], [404, 329], [411, 339], [415, 330], [420, 320], [424, 311], [428, 302], [433, 293], [438, 286], [443, 279], [447, 272], [451, 267], [456, 261], [461, 257], [465, 253], [468, 249]]"
15,60,1000,500,dog ,25.0,Medium,0.0,40.1070456,150.0,3500,6.4,,68,2025-05-25 20:57:57,"[[24, 322], [23, 322], [24, 323], [23, 323], [24, 322], [24, 323], [24, 322], [23, 323], [23, 322], [25, 323], [23, 323], [24, 323], [24, 322], [24, 323], [23, 323], [23, 322], [24, 322], [24, 322], [23, 323], [23, 322], [23, 323], [23, 323], [24, 323], [24, 322], [24, 323], [24, 323], [23, 323], [24, 322], [24, 322], [24, 323], [24, 323], [23, 323], [23, 322], [33, 302], [41, 293], [52, 280], [62, 270], [75, 259], [83, 250], [92, 242], [103, 234], [112, 226], [123, 220], [132, 214], [141, 209], [178, 193], [196, 188], [206, 188], [278, 198], [288, 203], [314, 219], [340, 240], [366, 266], [373, 276], [399, 308], [404, 318], [420, 340], [425, 330], [429, 319], [443, 292], [448, 286], [458, 272], [465, 260], [469, 256], [474, 252], [478, 247], [484, 245], [488, 244]]"
